Division/SIC,Description,Link
2396,Automotive Trimmings, Apparel Findings, and Related Products,http://www.osha.gov/pls/imis/sic_manual.display?id=535&tab=description
2397,Schiffli Machine Embroideries,http://www.osha.gov/pls/imis/sic_manual.display?id=536&tab=description
2399,Fabricated Textile Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=537&tab=description
24,Lumber And Wood Products, Except Furniture,http://www.osha.gov/pls/imis/sic_manual.display?id=17&tab=group
241,Logging,
2411,Logging,http://www.osha.gov/pls/imis/sic_manual.display?id=538&tab=description
242,Sawmills And Planing Mills,
2421,Sawmills and Planing Mills, General,http://www.osha.gov/pls/imis/sic_manual.display?id=539&tab=description
2426,Hardwood Dimension and Flooring Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=540&tab=description
2429,Special Product Sawmills, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=541&tab=description
243,Millwork, Veneer, Plywood, And Structural Wood,
2431,Millwork,http://www.osha.gov/pls/imis/sic_manual.display?id=542&tab=description
2434,Wood Kitchen Cabinets,http://www.osha.gov/pls/imis/sic_manual.display?id=543&tab=description
2435,Hardwood Veneer and Plywood,http://www.osha.gov/pls/imis/sic_manual.display?id=544&tab=description
2436,Softwood Veneer and Plywood,http://www.osha.gov/pls/imis/sic_manual.display?id=545&tab=description
2439,Structural Wood Members, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=546&tab=description
244,Wood Containers,
2441,Nailed and Lock Corner Wood Boxes and Shook,http://www.osha.gov/pls/imis/sic_manual.display?id=547&tab=description
2448,Wood Pallets and Skids,http://www.osha.gov/pls/imis/sic_manual.display?id=548&tab=description
2449,Wood Containers, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=549&tab=description
245,Wood Buildings And Mobile Homes,
2451,Mobile Homes,http://www.osha.gov/pls/imis/sic_manual.display?id=550&tab=description
2452,Prefabricated Wood Buildings and Components,http://www.osha.gov/pls/imis/sic_manual.display?id=551&tab=description
249,Miscellaneous Wood Products,
2491,Wood Preserving,http://www.osha.gov/pls/imis/sic_manual.display?id=552&tab=description
2493,Reconstituted Wood Products,http://www.osha.gov/pls/imis/sic_manual.display?id=553&tab=description
2499,Wood Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=554&tab=description
25,Furniture And Fixtures,http://www.osha.gov/pls/imis/sic_manual.display?id=18&tab=group
251,Household Furniture,
2511,Wood Household Furniture, Except Upholstered,http://www.osha.gov/pls/imis/sic_manual.display?id=555&tab=description
2512,Wood Household Furniture, Upholstered,http://www.osha.gov/pls/imis/sic_manual.display?id=556&tab=description
2514,Metal Household Furniture,http://www.osha.gov/pls/imis/sic_manual.display?id=557&tab=description
2515,Mattresses, Foundations, and Convertible Beds,http://www.osha.gov/pls/imis/sic_manual.display?id=558&tab=description
2517,Wood Television, Radio, Phonograph, and Sewing Machine Cabinets,http://www.osha.gov/pls/imis/sic_manual.display?id=559&tab=description
2519,Household Furniture, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=560&tab=description
252,Office Furniture,
2521,Wood Office Furniture,http://www.osha.gov/pls/imis/sic_manual.display?id=561&tab=description
2522,Office Furniture, Except Wood,http://www.osha.gov/pls/imis/sic_manual.display?id=562&tab=description
253,Public Building And Related Furniture,
2531,Public Building and Related Furniture,http://www.osha.gov/pls/imis/sic_manual.display?id=563&tab=description
254,Partitions, Shelving, Lockers, And Office And,
2541,Wood Office and Store Fixtures, Partitions, Shelving, and Lockers,http://www.osha.gov/pls/imis/sic_manual.display?id=564&tab=description
2542,Office and Store Fixtures, Partitions, Shelving, and Lockers, Except Wood,http://www.osha.gov/pls/imis/sic_manual.display?id=565&tab=description
259,Miscellaneous Furniture And Fixtures,
2591,Drapery Hardware and Window Blinds and Shades,http://www.osha.gov/pls/imis/sic_manual.display?id=566&tab=description
2599,Furniture and Fixtures, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=567&tab=description
26,Paper And Allied Products,http://www.osha.gov/pls/imis/sic_manual.display?id=19&tab=group
261,Pulp Mills,
2611,Pulp Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=568&tab=description
262,Paper Mills,
2621,Paper Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=569&tab=description
263,Paperboard Mills,
2631,Paperboard Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=570&tab=description
265,Paperboard Containers And Boxes,
2652,Setup Paperboard Boxes,http://www.osha.gov/pls/imis/sic_manual.display?id=571&tab=description
2653,Corrugated and Solid Fiber Boxes,http://www.osha.gov/pls/imis/sic_manual.display?id=572&tab=description
2655,Fiber Cans, Tubes, Drums, and Similar Products,http://www.osha.gov/pls/imis/sic_manual.display?id=573&tab=description
2656,Sanitary Food Containers, Except Folding,http://www.osha.gov/pls/imis/sic_manual.display?id=574&tab=description
2657,Folding Paperboard Boxes, Including Sanitary,http://www.osha.gov/pls/imis/sic_manual.display?id=575&tab=description
267,Converted Paper And Paperboard Products, Except,
2671,Packaging Paper and Plastics Film, Coated and Laminated,http://www.osha.gov/pls/imis/sic_manual.display?id=576&tab=description
2672,Coated and Laminated Paper, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=577&tab=description
2673,Plastics, Foil, and Coated Paper Bags,http://www.osha.gov/pls/imis/sic_manual.display?id=578&tab=description
2674,Uncoated Paper and Multiwall Bags,http://www.osha.gov/pls/imis/sic_manual.display?id=579&tab=description
2675,Die-Cut Paper and Paperboard and Cardboard,http://www.osha.gov/pls/imis/sic_manual.display?id=580&tab=description
2676,Sanitary Paper Products,http://www.osha.gov/pls/imis/sic_manual.display?id=581&tab=description
2677,Envelopes,http://www.osha.gov/pls/imis/sic_manual.display?id=582&tab=description
2678,Stationery, Tablets, and Related Products,http://www.osha.gov/pls/imis/sic_manual.display?id=583&tab=description
2679,Converted Paper and Paperboard Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=584&tab=description
27,Printing, Publishing, And Allied Industries,http://www.osha.gov/pls/imis/sic_manual.display?id=20&tab=group
271,Newspapers,
2711,Newspapers: Publishing, or Publishing and Printing,http://www.osha.gov/pls/imis/sic_manual.display?id=585&tab=description
272,Periodicals,
2721,Periodicals: Publishing, or Publishing and Printing,http://www.osha.gov/pls/imis/sic_manual.display?id=586&tab=description
273,Books,
2731,Books: Publishing, or Publishing and Printing,http://www.osha.gov/pls/imis/sic_manual.display?id=587&tab=description
2732,Book Printing,http://www.osha.gov/pls/imis/sic_manual.display?id=588&tab=description
274,Miscellaneous Publishing,
2741,Miscellaneous Publishing,http://www.osha.gov/pls/imis/sic_manual.display?id=589&tab=description
275,Commercial Printing,
2752,Commercial Printing, Lithographic,http://www.osha.gov/pls/imis/sic_manual.display?id=590&tab=description
2754,Commercial Printing, Gravure,http://www.osha.gov/pls/imis/sic_manual.display?id=591&tab=description
2759,Commercial Printing, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=592&tab=description
276,Manifold Business Forms,
2761,Manifold Business Forms,http://www.osha.gov/pls/imis/sic_manual.display?id=593&tab=description
277,Greeting Cards,
2771,Greeting Cards,http://www.osha.gov/pls/imis/sic_manual.display?id=594&tab=description
278,Blankbooks, Looseleaf Binders, And Bookbinding,
2782,Blankbooks, Looseleaf Binders and Devices,http://www.osha.gov/pls/imis/sic_manual.display?id=595&tab=description
2789,Bookbinding and Related Work,http://www.osha.gov/pls/imis/sic_manual.display?id=596&tab=description
279,Service Industries For The Printing Trade,
2791,Typesetting,http://www.osha.gov/pls/imis/sic_manual.display?id=597&tab=description
2796,Platemaking and Related Services,http://www.osha.gov/pls/imis/sic_manual.display?id=598&tab=description
28,Chemicals And Allied Products,http://www.osha.gov/pls/imis/sic_manual.display?id=21&tab=group
281,Industrial Inorganic Chemicals,
2812,Alkalies and Chlorine,http://www.osha.gov/pls/imis/sic_manual.display?id=599&tab=description
2813,Industrial Gases,http://www.osha.gov/pls/imis/sic_manual.display?id=600&tab=description
2816,Inorganic Pigments,http://www.osha.gov/pls/imis/sic_manual.display?id=601&tab=description
2819,Industrial Inorganic Chemicals, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=1003&tab=description
282,Plastics Materials And Synthetic Resins, Synthetic,
2821,Plastics Materials, Synthetic Resins, and Nonvulcanizable Elastomers,http://www.osha.gov/pls/imis/sic_manual.display?id=603&tab=description
2822,Synthetic Rubber (Vulcanizable Elastomers),http://www.osha.gov/pls/imis/sic_manual.display?id=604&tab=description
2823,Cellulosic Manmade Fibers,http://www.osha.gov/pls/imis/sic_manual.display?id=605&tab=description
2824,Manmade Organic Fibers, Except Cellulosic,http://www.osha.gov/pls/imis/sic_manual.display?id=606&tab=description
283,Drugs,
2833,Medicinal Chemicals and Botanical Products,http://www.osha.gov/pls/imis/sic_manual.display?id=607&tab=description
2834,Pharmaceutical Preparations,http://www.osha.gov/pls/imis/sic_manual.display?id=608&tab=description
2835,In Vitro and In Vivo Diagnostic Substances,http://www.osha.gov/pls/imis/sic_manual.display?id=609&tab=description
2836,Biological Products, Except Diagnostic Substances,http://www.osha.gov/pls/imis/sic_manual.display?id=610&tab=description
284,Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmetics, and Other Toilet Preparations,
2841,Soap and Other Detergents, Except Specialty Cleaners,http://www.osha.gov/pls/imis/sic_manual.display?id=611&tab=description
2842,Specialty Cleaning, Polishing, and Sanitation Preparations,http://www.osha.gov/pls/imis/sic_manual.display?id=612&tab=description
2843,Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants,http://www.osha.gov/pls/imis/sic_manual.display?id=613&tab=description
2844,Perfumes, Cosmetics, and Other Toilet Preparations,http://www.osha.gov/pls/imis/sic_manual.display?id=614&tab=description
285,Paints, Varnishes, Lacquers, Enamels, And Allied,
2851,Paints, Varnishes, Lacquers, Enamels, and Allied Products,http://www.osha.gov/pls/imis/sic_manual.display?id=615&tab=description
286,Industrial Organic Chemicals,
2861,Gum and Wood Chemicals,http://www.osha.gov/pls/imis/sic_manual.display?id=616&tab=description
2865,Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments,http://www.osha.gov/pls/imis/sic_manual.display?id=617&tab=description
2869,Industrial Organic Chemicals, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=1004&tab=description
287,Agricultural Chemicals,
2873,Nitrogenous Fertilizers,http://www.osha.gov/pls/imis/sic_manual.display?id=618&tab=description
2874,Phosphatic Fertilizers,http://www.osha.gov/pls/imis/sic_manual.display?id=619&tab=description
2875,Fertilizers, Mixing Only,http://www.osha.gov/pls/imis/sic_manual.display?id=620&tab=description
2879,Pesticides and Agricultural Chemicals, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=621&tab=description
289,Miscellaneous Chemical Products,
2891,Adhesives and Sealants,http://www.osha.gov/pls/imis/sic_manual.display?id=622&tab=description
2892,Explosives,http://www.osha.gov/pls/imis/sic_manual.display?id=623&tab=description
2893,Printing Ink,http://www.osha.gov/pls/imis/sic_manual.display?id=624&tab=description
2895,Carbon Black,http://www.osha.gov/pls/imis/sic_manual.display?id=625&tab=description
2899,Chemicals and Chemical Preparations, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=626&tab=description
29,Petroleum Refining And Related Industries,http://www.osha.gov/pls/imis/sic_manual.display?id=22&tab=group
291,Petroleum Refining,
2911,Petroleum Refining,http://www.osha.gov/pls/imis/sic_manual.display?id=627&tab=description
295,Asphalt Paving And Roofing Materials,
2951,Asphalt Paving Mixtures and Blocks,http://www.osha.gov/pls/imis/sic_manual.display?id=628&tab=description
2952,Asphalt Felts and Coatings,http://www.osha.gov/pls/imis/sic_manual.display?id=629&tab=description
299,Miscellaneous Products Of Petroleum And Coal,
2992,Lubricating Oils and Greases,http://www.osha.gov/pls/imis/sic_manual.display?id=630&tab=description
2999,Products of Petroleum and Coal, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=631&tab=description
30,Rubber And Miscellaneous Plastics Products,http://www.osha.gov/pls/imis/sic_manual.display?id=23&tab=group
301,Tires And Inner Tubes,
3011,Tires and Inner Tubes,http://www.osha.gov/pls/imis/sic_manual.display?id=632&tab=description
302,Rubber And Plastics Footwear,
3021,Rubber and Plastics Footwear,http://www.osha.gov/pls/imis/sic_manual.display?id=633&tab=description
305,Gaskets, Packing, And Sealing Devices And Rubber,
3052,Rubber and Plastics Hose and Belting,http://www.osha.gov/pls/imis/sic_manual.display?id=634&tab=description
3053,Gaskets, Packing, and Sealing Devices,http://www.osha.gov/pls/imis/sic_manual.display?id=635&tab=description
306,Fabricated Rubber Products, Not Elsewhere,
3061,Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods,http://www.osha.gov/pls/imis/sic_manual.display?id=636&tab=description
3069,Fabricated Rubber Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=1005&tab=description
308,Miscellaneous Plastics Products,
3081,Unsupported Plastics Film and Sheet,http://www.osha.gov/pls/imis/sic_manual.display?id=638&tab=description
3082,Unsupported Plastics Profile Shapes,http://www.osha.gov/pls/imis/sic_manual.display?id=639&tab=description
3083,Laminated Plastics Plate, Sheet, and Profile Shapes,http://www.osha.gov/pls/imis/sic_manual.display?id=640&tab=description
3084,Plastics Pipe,http://www.osha.gov/pls/imis/sic_manual.display?id=641&tab=description
3085,Plastics Bottles,http://www.osha.gov/pls/imis/sic_manual.display?id=642&tab=description
3086,Plastics Foam Products,http://www.osha.gov/pls/imis/sic_manual.display?id=643&tab=description
3087,Custom Compounding of Purchased Plastics Resins,http://www.osha.gov/pls/imis/sic_manual.display?id=644&tab=description
3088,Plastics Plumbing Fixtures,http://www.osha.gov/pls/imis/sic_manual.display?id=645&tab=description
3089,Plastics Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=1006&tab=description
31,Leather And Leather Products,http://www.osha.gov/pls/imis/sic_manual.display?id=24&tab=group
311,Leather Tanning And Finishing,
3111,Leather Tanning and Finishing,http://www.osha.gov/pls/imis/sic_manual.display?id=646&tab=description
313,Boot And Shoe Cut Stock And Findings,
3131,Boot and Shoe Cut Stock and Findings,http://www.osha.gov/pls/imis/sic_manual.display?id=647&tab=description
314,Footwear, Except Rubber,
3142,House Slippers,http://www.osha.gov/pls/imis/sic_manual.display?id=648&tab=description
3143,Men's Footwear, Except Athletic,http://www.osha.gov/pls/imis/sic_manual.display?id=649&tab=description
3144,Women's Footwear, Except Athletic,http://www.osha.gov/pls/imis/sic_manual.display?id=650&tab=description
3149,Footwear, Except Rubber, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=651&tab=description
315,Leather Gloves And Mittens,
3151,Leather Gloves and Mittens,http://www.osha.gov/pls/imis/sic_manual.display?id=652&tab=description
316,Luggage,
3161,Luggage,http://www.osha.gov/pls/imis/sic_manual.display?id=653&tab=description
317,Handbags And Other Personal Leather Goods,
3171,Women's Handbags and Purses,http://www.osha.gov/pls/imis/sic_manual.display?id=654&tab=description
3172,Personal Leather Goods, Except Women's Handbags and Purses,http://www.osha.gov/pls/imis/sic_manual.display?id=655&tab=description
319,Leather Goods, Not Elsewhere Classified,
3199,Leather Goods, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=656&tab=description
32,Stone, Clay, Glass, And Concrete Products,http://www.osha.gov/pls/imis/sic_manual.display?id=25&tab=group
321,Flat Glass,
3211,Flat Glass,http://www.osha.gov/pls/imis/sic_manual.display?id=657&tab=description
322,Glass And Glassware, Pressed Or Blown,
3221,Glass Containers,http://www.osha.gov/pls/imis/sic_manual.display?id=658&tab=description
3229,Pressed and Blown Glass and Glassware, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=659&tab=description
323,Glass Products, Made Of Purchased Glass,
3231,Glass Products, Made of Purchased Glass,http://www.osha.gov/pls/imis/sic_manual.display?id=660&tab=description
324,Cement, Hydraulic,
3241,Cement, Hydraulic,http://www.osha.gov/pls/imis/sic_manual.display?id=661&tab=description
325,Structural Clay Products,
3251,Brick and Structural Clay Tile,http://www.osha.gov/pls/imis/sic_manual.display?id=662&tab=description
3253,Ceramic Wall and Floor Tile,http://www.osha.gov/pls/imis/sic_manual.display?id=663&tab=description
3255,Clay Refractories,http://www.osha.gov/pls/imis/sic_manual.display?id=664&tab=description
3259,Structural Clay Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=665&tab=description
326,Pottery And Related Products,
3261,Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories,http://www.osha.gov/pls/imis/sic_manual.display?id=666&tab=description
3262,Vitreous China Table and Kitchen Articles,http://www.osha.gov/pls/imis/sic_manual.display?id=667&tab=description
3263,Fine Earthenware (Whiteware) Table and Kitchen Articles,http://www.osha.gov/pls/imis/sic_manual.display?id=668&tab=description
3264,Porcelain Electrical Supplies,http://www.osha.gov/pls/imis/sic_manual.display?id=669&tab=description
3269,Pottery Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=670&tab=description
327,Concrete, Gypsum, And Plaster Products,
3271,Concrete Block and Brick,http://www.osha.gov/pls/imis/sic_manual.display?id=671&tab=description
3272,Concrete Products, Except Block and Brick,http://www.osha.gov/pls/imis/sic_manual.display?id=672&tab=description
3273,Ready-Mixed Concrete,http://www.osha.gov/pls/imis/sic_manual.display?id=673&tab=description
3274,Lime,http://www.osha.gov/pls/imis/sic_manual.display?id=674&tab=description
3275,Gypsum Products,http://www.osha.gov/pls/imis/sic_manual.display?id=675&tab=description
328,Cut Stone And Stone Products,
3281,Cut Stone and Stone Products,http://www.osha.gov/pls/imis/sic_manual.display?id=676&tab=description
329,Abrasive, Asbestos, And Miscellaneous,
3291,Abrasive Products,http://www.osha.gov/pls/imis/sic_manual.display?id=677&tab=description
3292,Asbestos Products,http://www.osha.gov/pls/imis/sic_manual.display?id=678&tab=description
3295,Minerals and Earths, Ground or Otherwise Treated,http://www.osha.gov/pls/imis/sic_manual.display?id=679&tab=description
3296,Mineral Wool,http://www.osha.gov/pls/imis/sic_manual.display?id=680&tab=description
3297,Nonclay Refractories,http://www.osha.gov/pls/imis/sic_manual.display?id=681&tab=description
3299,Nonmetallic Mineral Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=682&tab=description
33,Primary Metal Industries,http://www.osha.gov/pls/imis/sic_manual.display?id=26&tab=group
331,Steel Works, Blast Furnaces, And Rolling And Finishing Mills,
3312,Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=683&tab=description
3313,Electrometallurgical Products, Except Steel,http://www.osha.gov/pls/imis/sic_manual.display?id=684&tab=description
3315,Steel Wiredrawing and Steel Nails and Spikes,http://www.osha.gov/pls/imis/sic_manual.display?id=685&tab=description
3316,Cold-Rolled Steel Sheet, Strip, and Bars,http://www.osha.gov/pls/imis/sic_manual.display?id=686&tab=description
3317,Steel Pipe and Tubes,http://www.osha.gov/pls/imis/sic_manual.display?id=687&tab=description
332,Iron And Steel Foundries,
3321,Gray and Ductile Iron Foundries,http://www.osha.gov/pls/imis/sic_manual.display?id=688&tab=description
3322,Malleable Iron Foundries,http://www.osha.gov/pls/imis/sic_manual.display?id=689&tab=description
3324,Steel Investment Foundries,http://www.osha.gov/pls/imis/sic_manual.display?id=690&tab=description
3325,Steel Foundries, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=691&tab=description
333,Primary Smelting And Refining Of Nonferrous,
3331,Primary Smelting and Refining of Copper,http://www.osha.gov/pls/imis/sic_manual.display?id=692&tab=description
3334,Primary Production of Aluminum,http://www.osha.gov/pls/imis/sic_manual.display?id=693&tab=description
3339,Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum,http://www.osha.gov/pls/imis/sic_manual.display?id=304&tab=description
334,Secondary Smelting And Refining Of Nonferrous,
3341,Secondary Smelting and Refining of Nonferrous Metals,http://www.osha.gov/pls/imis/sic_manual.display?id=305&tab=description
335,Rolling, Drawing, And Extruding Of Nonferrous,
3351,Rolling, Drawing, and Extruding Of Copper,http://www.osha.gov/pls/imis/sic_manual.display?id=701&tab=description
3353,Aluminum Sheet, Plate, and Foil,http://www.osha.gov/pls/imis/sic_manual.display?id=702&tab=description
3354,Aluminum Extruded Products,http://www.osha.gov/pls/imis/sic_manual.display?id=703&tab=description
3355,Aluminum Rolling and Drawing, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=704&tab=description
3356,Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum,http://www.osha.gov/pls/imis/sic_manual.display?id=705&tab=description
3357,Drawing and Insulating of Nonferrous Wire,http://www.osha.gov/pls/imis/sic_manual.display?id=706&tab=description
336,Nonferrous Foundries (castings),
3363,Aluminum Die-Castings,http://www.osha.gov/pls/imis/sic_manual.display?id=707&tab=description
3364,Nonferrous Die-Castings, Except Aluminum,http://www.osha.gov/pls/imis/sic_manual.display?id=708&tab=description
3365,Aluminum Foundries,http://www.osha.gov/pls/imis/sic_manual.display?id=709&tab=description
3366,Copper Foundries,http://www.osha.gov/pls/imis/sic_manual.display?id=710&tab=description
3369,Nonferrous Foundries, Except Aluminum and Copper,http://www.osha.gov/pls/imis/sic_manual.display?id=711&tab=description
339,Miscellaneous Primary Metal Products,
3398,Metal Heat Treating,http://www.osha.gov/pls/imis/sic_manual.display?id=712&tab=description
3399,Primary Metal Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=713&tab=description
34,Fabricated Metal Products, Except Machinery And Transportation Equipment,http://www.osha.gov/pls/imis/sic_manual.display?id=27&tab=group
341,Metal Cans And Shipping Containers,
3411,Metal Cans,http://www.osha.gov/pls/imis/sic_manual.display?id=714&tab=description
3412,Metal Shipping Barrels, Drums, Kegs, and Pails,http://www.osha.gov/pls/imis/sic_manual.display?id=715&tab=description
342,Cutlery, Handtools, And General Hardware,
3421,Cutlery,http://www.osha.gov/pls/imis/sic_manual.display?id=716&tab=description
3423,Hand and Edge Tools, Except Machine Tools and Handsaws,http://www.osha.gov/pls/imis/sic_manual.display?id=717&tab=description
3425,Saw Blades and Handsaws,http://www.osha.gov/pls/imis/sic_manual.display?id=718&tab=description
3429,Hardware, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=719&tab=description
343,Heating Equipment, Except Electric And Warm Air;,
3431,Enameled Iron and Metal Sanitary Ware,http://www.osha.gov/pls/imis/sic_manual.display?id=720&tab=description
3432,Plumbing Fixture Fittings and Trim,http://www.osha.gov/pls/imis/sic_manual.display?id=721&tab=description
3433,Heating Equipment, Except Electric and Warm Air Furnaces,http://www.osha.gov/pls/imis/sic_manual.display?id=722&tab=description
344,Fabricated Structural Metal Products,
3441,Fabricated Structural Metal,http://www.osha.gov/pls/imis/sic_manual.display?id=723&tab=description
3442,Metal Doors, Sash, Frames, Molding, and Trim Manufacturing,http://www.osha.gov/pls/imis/sic_manual.display?id=724&tab=description
3443,Fabricated Plate Work (Boiler Shops),http://www.osha.gov/pls/imis/sic_manual.display?id=1007&tab=description
3444,Sheet Metal Work,http://www.osha.gov/pls/imis/sic_manual.display?id=726&tab=description
3446,Architectural and Ornamental Metal Work,http://www.osha.gov/pls/imis/sic_manual.display?id=727&tab=description
3448,Prefabricated Metal Buildings and Components,http://www.osha.gov/pls/imis/sic_manual.display?id=728&tab=description
3449,Miscellaneous Structural Metal Work,http://www.osha.gov/pls/imis/sic_manual.display?id=729&tab=description
345,Screw Machine Products, And Bolts, Nuts, Screws, Rivets, And Washers,
3451,Screw Machine Products,http://www.osha.gov/pls/imis/sic_manual.display?id=730&tab=description
3452,Bolts, Nuts, Screws, Rivets, and Washers,http://www.osha.gov/pls/imis/sic_manual.display?id=731&tab=description
346,Metal Forgings And Stampings,
3462,Iron and Steel Forgings,http://www.osha.gov/pls/imis/sic_manual.display?id=732&tab=description
3463,Nonferrous Forgings,http://www.osha.gov/pls/imis/sic_manual.display?id=733&tab=description
3465,Automotive Stampings,http://www.osha.gov/pls/imis/sic_manual.display?id=734&tab=description
3466,Crowns and Closures,http://www.osha.gov/pls/imis/sic_manual.display?id=735&tab=description
3469,Metal Stampings, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=736&tab=description
347,Coating, Engraving, And Allied Services,
3471,Electroplating, Plating, Polishing, Anodizing, and Coloring,http://www.osha.gov/pls/imis/sic_manual.display?id=737&tab=description
3479,Coating, Engraving, and Allied Services, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=738&tab=description
348,Ordnance And Accessories, Except Vehicles And Guided Missiles,
3482,Small Arms Ammunition,http://www.osha.gov/pls/imis/sic_manual.display?id=739&tab=description
3483,Ammunition, Except for Small Arms,http://www.osha.gov/pls/imis/sic_manual.display?id=740&tab=description
3484,Small Arms,http://www.osha.gov/pls/imis/sic_manual.display?id=741&tab=description
3489,Ordnance and Accessories, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=742&tab=description
349,Miscellaneous Fabricated Metal Products,
3491,Industrial Valves,http://www.osha.gov/pls/imis/sic_manual.display?id=743&tab=description
3492,Fluid Power Valves and Hose Fittings,http://www.osha.gov/pls/imis/sic_manual.display?id=744&tab=description
3493,Steel Springs, Except Wire,http://www.osha.gov/pls/imis/sic_manual.display?id=745&tab=description
3494,Valves and Pipe Fittings, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=746&tab=description
3495,Wire Springs,http://www.osha.gov/pls/imis/sic_manual.display?id=747&tab=description
3496,Miscellaneous Fabricated Wire Products,http://www.osha.gov/pls/imis/sic_manual.display?id=748&tab=description
3497,Metal Foil and Leaf,http://www.osha.gov/pls/imis/sic_manual.display?id=749&tab=description
3498,Fabricated Pipe and Pipe Fittings,http://www.osha.gov/pls/imis/sic_manual.display?id=750&tab=description
3499,Fabricated Metal Products, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=751&tab=description
35,Industrial And Commercial Machinery And Computer Equipment,http://www.osha.gov/pls/imis/sic_manual.display?id=28&tab=group
351,Engines And Turbines,
3511,Steam, Gas, and Hydraulic Turbines, and Turbine Generator Set Units,http://www.osha.gov/pls/imis/sic_manual.display?id=752&tab=description
3519,Internal Combustion Engines, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=753&tab=description
352,Farm And Garden Machinery And Equipment,
3523,Farm Machinery and Equipment,http://www.osha.gov/pls/imis/sic_manual.display?id=1008&tab=description
3524,Lawn and Garden Tractors and Home Lawn and Garden Equipment,http://www.osha.gov/pls/imis/sic_manual.display?id=755&tab=description
353,Construction, Mining, And Materials Handling,
3531,Construction Machinery and Equipment,http://www.osha.gov/pls/imis/sic_manual.display?id=1009&tab=description
3532,Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment,http://www.osha.gov/pls/imis/sic_manual.display?id=757&tab=description
3533,Oil and Gas Field Machinery and Equipment,http://www.osha.gov/pls/imis/sic_manual.display?id=758&tab=description
3534,Elevators and Moving Stairways,http://www.osha.gov/pls/imis/sic_manual.display?id=759&tab=description
3535,Conveyors and Conveying Equipment,http://www.osha.gov/pls/imis/sic_manual.display?id=760&tab=description
3536,Overhead Traveling Cranes, Hoists, and Monorail Systems,http://www.osha.gov/pls/imis/sic_manual.display?id=761&tab=description
3537,Industrial Trucks, Tractors, Trailers, and Stackers,http://www.osha.gov/pls/imis/sic_manual.display?id=762&tab=description
354,Metalworking Machinery And Equipment,
